Product Code,Suppler TIN,Supplier Name,Qty,Unit Price
3553856071359430000,,Opening Stock,100,1080
3553856071359430000,,Opening Stock,100,1080
3553848877180160000,,Opening Stock,100,1080
3553848877180160000,,Opening Stock,100,1080
3548898793145400000,,Opening Stock,100,1080
3548898793145400000,,Opening Stock,100,1080
3548892385012250000,,Opening Stock,100,1080
3548892385012250000,,Opening Stock,100,1080
3548888974749500000,,Opening Stock,100,1080
3548888974749500000,,Opening Stock,100,1080
3548886105669400000,,Opening Stock,100,1080
3548886105669400000,,Opening Stock,100,1080
3548882738356320000,,Opening Stock,100,1080
3548882738356320000,,Opening Stock,100,1080
3545685859510420000,,Opening Stock,100,1080
3545685859510420000,,Opening Stock,100,1080
3539389010885380000,,Opening Stock,100,1080
3539389010885380000,,Opening Stock,100,1080
3539384621370080000,,Opening Stock,100,1080
3539384621370080000,,Opening Stock,100,1080
3539377551719690000,,Opening Stock,100,1080
3539377551719690000,,Opening Stock,100,1080
3539368635275310000,,Opening Stock,100,1080
3539368635275310000,,Opening Stock,100,1080
3512595914994650000,,Opening Stock,100,1080
3512595914994650000,,Opening Stock,100,1080
3512311419708020000,,Opening Stock,100,1080
3512311419708020000,,Opening Stock,100,1080
3512304242767330000,,Opening Stock,100,1080
3512304242767330000,,Opening Stock,100,1080
3512296516079220000,,Opening Stock,100,1080
3512296516079220000,,Opening Stock,100,1080
3512288754997820000,,Opening Stock,100,1080
3512288754997820000,,Opening Stock,100,1080
3512284232346930000,,Opening Stock,100,1080
3512284232346930000,,Opening Stock,100,1080
3512271489078300000,,Opening Stock,100,1080
3512271489078300000,,Opening Stock,100,1080
3512264999340770000,,Opening Stock,100,1080
3512264999340770000,,Opening Stock,100,1080
3512258436580410000,,Opening Stock,100,1080
3512258436580410000,,Opening Stock,100,1080
3512254807274320000,,Opening Stock,100,1080
3512254807274320000,,Opening Stock,100,1080
3512250593869460000,,Opening Stock,100,1080
3512250593869460000,,Opening Stock,100,1080
3512202206616910000,,Opening Stock,100,1080
3512202206616910000,,Opening Stock,100,1080
3512183999940170000,,Opening Stock,100,1080
3512183999940170000,,Opening Stock,100,1080
3511955421378020000,,Opening Stock,100,1080
3511955421378020000,,Opening Stock,100,1080
3511907094171120000,,Opening Stock,100,1080
3511907094171120000,,Opening Stock,100,1080
3511767584623990000,,Opening Stock,100,1080
3511767584623990000,,Opening Stock,100,1080
3511740135286670000,,Opening Stock,100,1080
3511740135286670000,,Opening Stock,100,1080
3505347571184730000,,Opening Stock,100,1080
3505347571184730000,,Opening Stock,100,1080
3505328157773170000,,Opening Stock,100,1080
3505328157773170000,,Opening Stock,100,1080
3505309642068490000,,Opening Stock,100,1080
3505309642068490000,,Opening Stock,100,1080
3505303843812310000,,Opening Stock,100,1080
3505303843812310000,,Opening Stock,100,1080
3505286663884410000,,Opening Stock,100,1080
3505286663884410000,,Opening Stock,100,1080
3504411213268160000,,Opening Stock,100,1080
3504411213268160000,,Opening Stock,100,1080
